,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,eye_ear_list
259,182/img-2011-11-12-1929-1.jpg,182,72.0,44.0,89.0,"[0.4409726, 0.2979243, 0.7921568676829338]",0.5320903062820435,"[-1.5707963267948966, 61.0]","[10.328460364732944, 10.37020202716952]","rectangles[[(1034, 514) (1256, 737)]]",1,[13.0],[8.0],[24.0],"[(0.3290611642765719, 0.34964186089821925)]"
260,182/img-2011-11-12-1929.jpg,182,75.0,47.0,93.0,"[0.4482182, 0.2996216, 0.8039215728640556]",0.54117351770401,"[0.8779167845170952, 68.8839603971781]","[10.325117310972868, 10.418673865755073]",rectangles[],0,[],[],[],[]
261,183/img-2011-11-21-1331-1.JPG,183,22.0,6.0,33.0,"[0.56675375, 0.25195265, 0.7098039090633392]",0.15928205847740173,"[0.07091911529025025, 183.46116755324545]","[10.211376458023691, 10.343677322750587]","rectangles[[(1124, 486) (2274, 1636)]]",1,[6.0],[4.0],[12.0],"[(0.2723477465861367, 0.2721701597396754)]"
262,183/img-2011-11-21-1331-2.JPG,183,20.0,6.0,32.0,"[0.6624988, 0.21935542, 0.6117646992206573]",0.14246155321598053,"[0.2639637236257046, 76.6550715869472]","[10.121546780434088, 10.202406537522974]","rectangles[[(1046, 1224) (1845, 2023)]]",1,[6.0],[4.0],[9.0],"[(0.29830955576820284, 0.3049498661384643)]"
263,183/img-2011-11-21-1331-3.JPG,183,26.0,8.0,41.0,"[0.6873201, 0.22146127, 0.592156857252121]",0.16112546622753143,"[-0.10955952677394434, 100.60318086422517]","[10.10057078344423, 10.243956536800574]","rectangles[[(1149, 1150) (2108, 2108)]]",1,[6.0],[4.0],[10.0],"[(0.394355695874702, 0.38218211593378854)]"
264,183/img-2011-11-21-1331.JPG,183,22.0,7.0,35.0,"[0.65127987, 0.23308931, 0.6274509727954865]",0.12653523683547974,"[0.3383236225092596, 57.245087125446844]","[10.321036579798706, 10.33054994164271]","rectangles[[(1043, 1043) (2001, 2002)]]",1,[5.0],[4.0],[9.0],"[(0.4128035154294405, 0.41261094209444543)]"
265,183/img-2011-11-21-1332-1.JPG,183,8.0,5.0,19.0,"[0.59503025, 0.13199973, 0.30588236451148987]",0.12516723573207855,"[0, 0]","[10.146937211682747, 10.21059184623692]","rectangles[[(177, 178) (2165, 2165)]]",1,[5.0],[5.0],[10.0],"[(0.4148393926428743, 0.41664933792867115)]"
266,183/img-2011-11-21-1332.JPG,183,20.0,7.0,35.0,"[0.6825012, 0.20161936, 0.5607843101024628]",0.13019639253616333,"[-1.5145177905061347, 71.11258679024411]","[10.278629421198154, 10.25119016228856]","rectangles[[(736, 1197) (2116, 2577)]]",1,[7.0],[5.0],[15.0],"[(0.43026057275388424, 0.4274667880629303)]"
267,184/img-2011-11-23-1727-1.JPG,184,29.0,12.0,45.0,"[0.55879426, 0.19894883, 0.5137254893779755]",0.2729767858982086,"[-1.4207693700107888, 86.97700845625813]","[10.17835147782549, 10.307627925800624]","rectangles[[(723, 1789) (1682, 2747)], [(1478, 1221) (1940, 1684)]]",2,"[12.0, 13.0]","[8.0, 6.0]","[21.0, 25.0]","[(0.26790027691905477, 0.3118278376995782), (0.2805279446969644, 0.2611911693268527)]"
268,184/img-2011-11-23-1727.JPG,184,31.0,13.0,46.0,"[0.56249845, 0.19861919, 0.52156862616539]",0.26822176575660706,"[-1.5057992536352938, 169.3576098083579]","[10.146960520288475, 10.240949127868443]","rectangles[[(723, 1682) (1682, 2641)], [(1529, 1119) (1991, 1581)]]",2,"[12.0, 15.0]","[8.0, 7.0]","[21.0, 24.0]","[(0.25812084266062274, 0.3184875779986363), (0.32962204958415536, 0.32908434851687296)]"
